,ΜΟΝΙΜΗ ΑΔΕΙΑ ΔΙΑΜΟΝΗΣ ΕΠΕΝΔΥΤΗ (Ν. 4251/14) - Εκδοθείσες άδειες διαμονής ανά μήνα,,,,,,,,,,
,κατάθεσης αιτήματος,,,,,,,,,,
,ΜΗΝΑΣ ΚΑΤΑΘΕΣΗΣ,,ΑΡΧΙΚΕΣ,,,ΑΝΑΝΕΩΣΕΙΣ,,,ΣΥΝΟΛΟ ΕΠΕΝΔΥΤΗ,,
,ΑΙΤΗΜΑΤΟΣ**,,,,,,,,,,
,Μαϊ-24,,,258,,,241,,,499,
,Ιουν-24,,,266,,,163,,,429,
,Ιουλ-24,,,291,,,226,,,517,
,Αυγ-24,,,234,,,104,,,338,
,Σεπ-24,,,295,,,131,,,426,
,Οκτ-24,,,323,,,115,,,438,
,Νοε-24,,,252,,,83,,,335,
,Δεκ-24,,,287,,,67,,,354,
,Ιαν-25,,,167,,,38,,,205,
,Φεβ-25,,,87,,,15,,,102,
,Μαρ-25,,,45,,,5,,,50,
,Απρ-25,,,10,,,1,,,11,
,Μαϊ-25,,,0,,,0,,,0,
,ΣΥΝΟΛΟ,,,2.515,,,1.189,,,3.704,
