,Αιτήματα Αδειών διαμονής (Αρχικές χορηγήσεις και ανανεώσεις) ανά μήνα κατάθεσης αιτήματος,,,,,,,,,,,,,,,,
,(Μάιος 2024 – Μάιος 2025),,,,,,,,,,,,,,,,
,ΑΡΧΙΚΕΣ ΧΟΡΗΓΗΣΕΙΣ,,,,,,,,,,,,,,,,
,ΜΗΝΑΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,Μαϊ-24,,,3.409,,,1.184,,,1,,,3.715,,,8.309,
,Ιουν-24,,,3.697,,,1.195,,,6,,,3.667,,,8.565,
,Ιουλ-24,,,3.838,,,1.436,,,7,,,4.862,,,10.143,
,Αυγ-24,,,2.562,,,959,,,4,,,3.280,,,6.805,
,Σεπ-24,,,3.316,,,1.096,,,4,,,5.173,,,9.589,
,Οκτ-24,,,3.780,,,987,,,6,,,7.186,,,11.959,
,Νοε-24,,,2.659,,,782,,,2,,,6.943,,,10.386,
,Δεκ-24,,,2.320,,,1.130,,,5,,,9.927,,,13.382,
,Ιαν-25,,,1.207,,,145,,,1,,,6.360,,,7.713,
,Φεβ-25,,,845,,,134,,,,,,6.893,,,7.872,
,Μαρ-25,,,537,,,95,,,,,,7.083,,,7.715,
,Απρ-25,,,239,,,72,,,,,,6.134,,,6.445,
,Μαϊ-25,,,18,,,32,,,,,,6.713,,,6.763,
,ΣΥΝΟΛΟ ΑΡΧΙΚΩΝ,,28.427,,,9.247,,,36,,,77.936,,,115.646,,
,ΧΟΡΗΓΗΣΕΩΝ,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΙΣ,,,,,,,,,,,,,,,,
,ΜΗΝΑΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,Μαϊ-24,,,7.195,,,94,,,1,,,4.703,,,11.993,
,Ιουν-24,,,6.295,,,101,,,1,,,5.874,,,12.271,
,Ιουλ-24,,,6.245,,,88,,,,,,6.758,,,13.091,
,Αυγ-24,,,3.852,,,57,,,2,,,4.368,,,8.279,
,Σεπ-24,,,5.170,,,66,,,2,,,8.500,,,13.738,
,Οκτ-24,,,4.339,,,50,,,1,,,9.339,,,13.729,
,Νοε-24,,,3.910,,,34,,,1,,,9.652,,,13.597,
,Δεκ-24,,,2.945,,,28,,,,,,10.440,,,13.413,
,Ιαν-25,,,2.617,,,21,,,,,,12.777,,,15.415,
,Φεβ-25,,,1.586,,,11,,,,,,12.257,,,13.854,
,Μαρ-25,,,1.072,,,14,,,,,,10.838,,,11.924,
,Απρ-25,,,585,,,10,,,,,,9.268,,,9.863,
,Μαϊ-25,,,129,,,4,,,,,,12.541,,,12.674,
,ΣΥΝΟΛΟ,,45.940,,,578,,,8,,,117.315,,,163.841,,
,ΑΝΑΝΕΩΣΕΩΝ,,,,,,,,,,,,,,,,
,ΓΕΝΙΚΑ ΣΥΝΟΛΑ,,74.367,,,9.825,,,44,,,195.251,,,279.487,,
,ΑΡΧΙΚΩΝ,,,,,,,,,,,,,,,,
,ΧΟΡΗΓΗΣΕΩΝ &,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΩΝ,,,,,,,,,,,,,,,,
