,Αιτήματα Αδειών διαμονής (Αρχικές χορηγήσεις και ανανεώσεις) ανά έτος κατάθεσης αιτήματος (2021-2025),,,,,,,,,,,,,,,,
,ΑΡΧΙΚΕΣ ΧΟΡΗΓΗΣΕΙΣ,,,,,,,,,,,,,,,,
,ΕΤΟΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,2021,,,30.202,,,8.126,,,211,,,810,,,39.349,
,2022,,,42.514,,,10.402,,,173,,,3.947,,,57.036,
,2023,,,56.960,,,28.093,,,214,,,28.986,,,114.253,
,2024,,,43.213,,,14.065,,,87,,,62.012,,,119.377,
,2025,,,2.846,,,478,,,1,,,33.183,,,36.508,
,ΣΥΝΟΛΟ ΑΡΧΙΚΩΝ,,175.735,,,61.164,,,686,,,128.938,,,366.523,,
,ΧΟΡΗΓΗΣΕΩΝ,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΙΣ,,,,,,,,,,,,,,,,
,ΕΤΟΣ ΚΑΤΑΘΕΣΗΣ,,ΕΚΔΟΘΕΙΣΕΣ,,,ΑΠΟΡΡΙΨΕΙΣ,,,ΑΝΑΚΛΗΣΕΙΣ,,,ΕΚΚΡΕΜΕΙΣ,,,ΣΥΝΟΛΟ,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,2021,,,123.812,,,2.566,,,159,,,1.110,,,127.647,
,2022,,,162.455,,,5.378,,,150,,,10.532,,,178.515,
,2023,,,97.647,,,1.883,,,70,,,22.927,,,122.527,
,2024,,,69.979,,,1.024,,,18,,,71.847,,,142.868,
,2025,,,5.989,,,60,,,,,,57.681,,,63.730,
,ΣΥΝΟΛΟ,,459.882,,,10.911,,,397,,,164.097,,,635.287,,
,ΑΝΑΝΕΩΣΕΩΝ,,,,,,,,,,,,,,,,
,ΓΕΝΙΚΑ ΣΥΝΟΛΑ,,635.617,,,72.075,,,1.083,,,293.035,,,1.001.810,,
,ΑΡΧΙΚΩΝ,,,,,,,,,,,,,,,,
,ΧΟΡΗΓΗΣΕΩΝ &,,,,,,,,,,,,,,,,
,ΑΝΑΝΕΩΣΕΩΝ,,,,,,,,,,,,,,,,
