,ΜΟΝΙΜΗ ΑΔΕΙΑ ΔΙΑΜΟΝΗΣ ΕΠΕΝΔΥΤΗ (Ν. 4251/14) - Εκδοθείσες άδειες διαμονής ανά μήνα έκδοσης,,,,,,,,,,
,απόφασης,,,,,,,,,,
ΜΗΝΑΣ ΕΚΔΟΣΗΣ ΑΠΟΦΑΣΗΣ,,,,ΕΚΔΟΘΕΙΣΕΣ -,,ΕΚΔΟΘΕΙΣΕΣ - ΑΝΑΝΕΩΣΗ,,,ΣΥΝΟΛΟ,,
,,,,ΑΡΧΙΚΗ ΧΟΡΗΓΗΣΗ,,,,,,,
,Μαϊ-24,,,252,,,88,,,340,
,Ιουν-24,,,267,,,124,,,391,
,Ιουλ-24,,,336,,,178,,,514,
,Αυγ-24,,,246,,,135,,,381,
,Σεπ-24,,,516,,,214,,,730,
,Οκτ-24,,,472,,,188,,,660,
,Νοε-24,,,544,,,164,,,708,
,Δεκ-24,,,502,,,140,,,642,
,Ιαν-25,,,620,,,159,,,779,
,Φεβ-25,,,641,,,177,,,818,
,Μαρ-25,,,690,,,182,,,872,
,Απρ-25,,,738,,,231,,,969,
,Μαϊ-25,,,506,,,251,,,757,
,ΣΥΝΟΛΟ,,,6.330,,,2.231,,,8.561,
