,TOTAL,,,,,,,,,,ECONOMISTS,,,,,
,A1–A8,,A9–A15,,B1–B5,,A9–B5,,TOTAL,,A11–A15,,B1–B5,,Total,
,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent,No.,Percent
,,,,,,,,,245,8.7,,,,,,
,,,,,,,,,369,13.1,,,,,,
,,,,,,,,,136,4.8,,,,,,
,,,,,,,,,102,3.6,,,,,,
,,,,,,,,,66,2.3,,,,,,
,,,,,,,,,65,2.3,,,,,,
,,,,,,,,,145,5.1,,,,,,
,,,,,,,,,212,7.5,,,,,,
,,,,,,,,,140,5.0,,,,,,
,,,,,,,,,43,1.5,,,,,,
,,,,,,,,,29,1.0,,,,,,
,,,,,,,,,694,24.6,,,,,,
,,,,,,,,,278,9.8,,,,,,
,,,,,,,,,123,4.4,,,,,,
,,,,,,,,,111,3.9,,,,,,
,,,,,,,,,100,3.5,,,,,,
,,,,,,,,,82,2.9,,,,,,
,,,,,,,,,336,11.9,,,,,,
,,,,,,,,,242,8.6,,,,,,
,,,,,,,,,582,20.6,,,,,,
,,,,,,,,,517,18.3,,,,,,
,,,,,,,,,65,2.3,,,,,,
TOTAL,412,14.6,2063,73.0,350,12.4,2413,85.4,2825,100.0,1310,46.4,264,9.3,1574,55.7
,,,,,,,,,1274,45.1,,,,,,
,,,,,,,,,1551,54.9,,,,,,
